iter	MAPE	Quantile:alpha=0.5
249	0.1696275193	0.1688301581
250	0.1690797883	0.1683600293
251	0.1686322647	0.1679638908
252	0.1683786869	0.1676744116
253	0.1680334737	0.1673501089
254	0.1676500499	0.1670296819
255	0.1672751489	0.1667120763
256	0.1668772623	0.1663662841
257	0.1664332716	0.1659655115
258	0.1660145654	0.1655723457
259	0.165620351	0.1652198725
260	0.1652709679	0.1648906529
261	0.1648245892	0.1644776595
262	0.1646800869	0.1642459405
263	0.1642455824	0.1638533629
264	0.1638851683	0.1635008997
265	0.1635398426	0.1631236308
266	0.1629430847	0.1626317934
267	0.1626156499	0.1623494137
268	0.1624040029	0.1620676343
269	0.1621933969	0.1617581243
270	0.1617255051	0.1613409461
271	0.1614877257	0.1610378438
272	0.1611245683	0.1607168413
273	0.1609176623	0.1604784328
274	0.1606678794	0.160205288
275	0.1602549411	0.1598297437
276	0.1598275209	0.1594278974
277	0.1595884473	0.1591369918
278	0.1593474563	0.1588832742
279	0.1590158399	0.1585399738
280	0.1586795779	0.1581638395
281	0.1583910381	0.1578509061
282	0.1581230292	0.157497162
283	0.1578275598	0.1572863268
284	0.1574892011	0.1569925203
285	0.1571238819	0.1566539709
286	0.156826896	0.1563876328
287	0.1565967716	0.156145153
288	0.1563464689	0.1558952806
289	0.1559642735	0.1555760932
290	0.1558343657	0.1554264794
291	0.1555561705	0.1551636057
292	0.1552994118	0.154885179
293	0.1550327971	0.1546405422
294	0.1547268257	0.154366978
295	0.1544672539	0.1541126205
296	0.1542743168	0.1538622583
297	0.1540904871	0.153636785
298	0.1538258662	0.1533703162
299	0.15354272	0.1530266994
300	0.1532917138	0.1527553861
301	0.1530898819	0.1525118025
302	0.152857527	0.1522633109
303	0.152609204	0.1520552482
304	0.1523336905	0.1517897611
305	0.1521371334	0.1515591932
306	0.1518627322	0.1512904466
307	0.1515482957	0.151016346
308	0.1513293963	0.1507468849
309	0.1511009201	0.1505408522
310	0.1507635146	0.1502287737
311	0.1504200636	0.1498965552
312	0.1503031963	0.1497154619
313	0.1500746349	0.149490596
314	0.1499224291	0.1492647507
